"station","start_station_id","lattitude","longitude","total_rides"
"Clinton St & Newark St","HB409",40.73743,-74.03571,1274
"Oakland Ave","JC022",40.7376037,-74.0524783,669
"Church Sq Park - 5 St & Park Ave","HB601",40.7426593327314,-74.0322330594063,1335
"Journal Square","JC103",40.73367,-74.0625,914
"Morris Canal","JC072",40.7124188237569,-74.0385255217552,1027
"Newport PATH","JC066",40.7272235,-74.0337589,2629
"Brunswick & 6th","JC081",40.7260117296463,-74.0503889322281,982
"7 St & Monroe St","HB304",40.7464126483772,-74.0379770100117,1145
"9 St HBLR - Jackson St & 8 St","HB305",40.747907209689,-74.0384115278721,1173
"Harborside","JC104",40.7192517,-74.034234,1925
"Paulus Hook","JC002",40.7141454,-74.0335519,1242
"Bloomfield St & 15 St","HB203",40.75453,-74.02658,1144
"Columbus Dr at Exchange Pl","JC106",40.71687,-74.03281,1994
"Madison St & 1 St","HB402",40.73879,-74.0393,1598
"Adams St & 2 St","HB407",40.7398137231184,-74.0369041264057,966
"14 St Ferry - 14 St & Shipyard Ln","HB202",40.752960630465,-74.0243527293205,2237
"Union St","JC051",40.7182113,-74.0836394,291
"Willow Ave & 12 St","HB505",40.7518674823282,-74.030376970768,1032
"Astor Place","JC077",40.719282200707,-74.071261882782,556
"Washington St","JC098",40.7242941,-74.0354826,1788
"Liberty Light Rail","JC052",40.7112423,-74.0557013,2094
"City Hall","JC003",40.7177325,-74.043845,1572
"Lincoln Park","JC053",40.7246050998869,-74.0784059464931,552
"Newark Ave","JC032",40.72152515,-74.046304543,1477
"5 Corners Library","JC018",40.7349610200095,-74.0595030784607,372
"11 St & Washington St","HB502",40.7499849090714,-74.0271502733231,1821
"Mama Johnson Field - 4 St & Jackson St","HB404",40.7431399396563,-74.0400409698486,762
"South Waterfront Walkway - Sinatra Dr & 1 St","HB103",40.7369822181872,-74.0277805924416,4610
"Southwest Park - Jackson St & Observer Hwy","HB401",40.737551272458,-74.0416637063026,961
"Adams St & 11 St","HB507",40.750915534785,-74.033540636301,667
"Grove St PATH","JC005",40.7195861164717,-74.0431174635887,4490
"Warren St","JC006",40.7211236,-74.03805095,1506
"Monmouth and 6th","JC075",40.725685483629,-74.0487903356552,685
"Hamilton Park","JC009",40.727595966,-74.044247311,2369
"Brunswick St","JC023",40.7241765,-74.0506564,969
"JC Medical Center","JC011",40.7165397809919,-74.0496379137039,1128
"Glenwood Ave","JC094",40.7275514673001,-74.0710607171059,341
"4 St & Grand St","HB301",40.7422579775645,-74.0351110696793,1143
"Jersey & 6th St","JC027",40.7252891078113,-74.0455716848373,746
"Clinton St & 7 St","HB303",40.74542,-74.03332,1112
"Christ Hospital","JC034",40.734785818,-74.050443636,575
"Columbus Park - Clinton St & 9 St","HB501",40.7481612106515,-74.0324530005455,1379
"8 St & Washington St","HB603",40.7459838829156,-74.0281990170479,1624
"Sip Ave","JC056",40.7308970978618,-74.0639126300812,1759
"Pershing Field","JC024",40.742677141,-74.051788633,760
"Fairmount Ave","JC093",40.7257261374256,-74.0719592571259,581
"City Hall - Washington St & 1 St","HB105",40.73736,-74.03097,2717
"Communipaw & Berry Lane","JC084",40.7143583687043,-74.0666109323502,421
"Jackson Square","JC063",40.71113,-74.0789,197
"Bergen Ave & Stegman St","JC108",40.7065754506345,-74.0867006778717,166
"Columbus Drive","JC014",40.7183551982321,-74.0389144420624,1332
"Grand St","JC102",40.7151776773203,-74.0376833081245,1252
"Newport Pkwy","JC008",40.7287448,-74.0321082,2788
"Hilltop","JC019",40.7311689,-74.0575736,749
"Bergen Ave","JC095",40.722103786686,-74.0714550018311,651
"Hudson St & 4 St","HB607",40.7409726086436,-74.0286033600569,1753
"6 St & Grand St","HB302",40.7443978330956,-74.0345008671284,821
"Marshall St & 2 St","HB408",40.740802,-74.042521,936
"Heights Elevator","JC059",40.7487159453802,-74.0404433012009,551
"Jersey & 3rd","JC074",40.7233315864644,-74.0459525585174,966
"Lafayette Park","JC078",40.7134638266919,-74.0628585219383,778
"Hoboken Ave at Monmouth St","JC105",40.7352083804536,-74.0469637513161,2446
"Dixon Mills","JC076",40.7216301426384,-74.0499678254128,778
"Riverview Park","JC057",40.7443187,-74.0439909,768
"12 St & Sinatra Dr N","HB201",40.750604142369,-74.0240201354027,2532
"Essex Light Rail","JC038",40.7127742,-74.0364857,734
"Grant Ave & MLK Dr","JC107",40.7091983224544,-74.0808427333832,73
"Hoboken Terminal - River St & Hudson Pl","HB102",40.7360676564825,-74.029127061367,3079
"Leonard Gordon Park","JC080",40.7459099663156,-74.0572714805603,527
"McGinley Square","JC055",40.7253399253558,-74.0676221251488,1027
"Hoboken Terminal - Hudson St & Hudson Pl","HB101",40.7359375844633,-74.0303045511246,3468
"Montgomery St","JC099",40.71942,-74.05099,579
"Grand St & 14 St","HB506",40.75409,-74.0316,1365
"Manila & 1st","JC082",40.72165072488,-74.0428841114044,1240
"Stevens - River Ter & 6 St","HB602",40.7431328271055,-74.0269886702299,763
"Marin Light Rail","JC013",40.7145840353589,-74.042817056179,2430
"Van Vorst Park","JC035",40.71848892,-74.047726625,1296
"Madison St & 10 St","HB503",40.7499432541225,-74.0358647704124,899
"Baldwin at Montgomery","JC020",40.7236589,-74.0641943,965
"Dey St","JC065",40.737711,-74.066921,275
"JCBS Depot","JCSYS",40.7096508336406,-74.0686011314392,1
